hostname;interface;link_state;admin_state;vlan;ip;description
DC-WAN-RTR-01;Port-channel2.116;up;up;389;192.168.100.217;KCP JATINANGOR | 192.168.100.218
DC-WAN-RTR-01;Port-channel2.117;up;up;661;192.168.100.137;KCP CIKARANG | 192.168.100.137
DC-WAN-RTR-01;Port-channel2.118;up;up;408;192.168.102.69;CFBO DENPASAR RENON
DC-WAN-RTR-01;Port-channel2.119;up;up;409;30.50.87.1;KC KELAPA GADING | 30.50.87.1
DC-WAN-RTR-01;Port-channel2.120;up;up;410;192.168.101.229;KCP CIAMIS LINK BACKUP 192.168.101.229
DC-WAN-RTR-01;Port-channel2.121;up;up;421;30.50.86.1;KC PONDOK GEDE | 10.5.3.129
DC-WAN-RTR-01;Port-channel2.122;up;up;428;30.63.24.1;KC MEDAN GAJAH MADA
DC-WAN-RTR-01;Port-channel2.123;up;up;432;192.168.101.205;KC CIBINONG/CFBC CIBINONG
DC-WAN-RTR-01;Port-channel2.124;up;up;437;30.50.46.1;GRAHA MANDIRI | 30.50.46.2
DC-WAN-RTR-01;Port-channel2.125;up;up;441;192.168.100.225;KC PALEMBANG LEBAR DAUN | 192.168.100.225
DC-WAN-RTR-01;Port-channel2.126;up;up;447;30.50.82.1;CONNECT TO KC PONDOK KELAPA | 30.50.82.1
DC-WAN-RTR-01;Port-channel2.127;up;up;466;30.50.85.1;KC SUNTER AGUNG | 30.50.85.1
DC-WAN-RTR-01;Port-channel2.128;up;up;473;192.168.101.17;KCP HASAN BASRI BANJARMASIN | 192.168.101.17
DC-WAN-RTR-01;Port-channel2.129;up;up;474;30.50.54.1;IAG JL SURABAYA
DC-WAN-RTR-01;Port-channel2.130;up;up;486;30.53.26.1;KCP SEMARANG TIMUR | 30.53.26.1
DC-WAN-RTR-01;Port-channel2.131;up;up;487;30.54.38.1;KCP KRIAN | 30.54.38.2
DC-WAN-RTR-01;Port-channel2.132;up;up;488;30.75.2.1;KCP PRAYA
DC-WAN-RTR-01;Port-channel2.133;up;up;;;KCP PARIGI MUTONG
DC-WAN-RTR-01;Port-channel2.134;up;up;490;192.168.101.13;LINK KC SIMPANG PATAL NEW
DC-WAN-RTR-01;Port-channel2.135;up;up;491;192.168.101.225;KC MEDAN AKSARA | 192.168.101.225
DC-WAN-RTR-01;Port-channel2.136;up;up;505;192.168.101.237;LINK KC CIPUTAT
DC-WAN-RTR-01;Port-channel2.137;up;up;552;192.168.100.61;KCP TALUK KUANTAN | 192.168.100.62
DC-WAN-RTR-01;Port-channel2.138;up;up;584;30.52.39.1;KC BANDUNG SUCI A YANI | 30.52.39.1
DC-WAN-RTR-01;Port-channel2.139;up;up;533;192.168.100.37;LINK TO KCP RADIO DALAM | 192.168.100.37
DC-WAN-RTR-01;Port-channel2.140;up;up;587;192.168.100.9;KCP NASUTION | 192.168.100.10
DC-WAN-RTR-01;Port-channel2.141;up;up;588;192.168.100.33;KCP PADANG BULAN | 192.168.100.34
DC-WAN-RTR-01;Port-channel2.142;up;up;597;192.168.100.249;KCP MT HARYONO SEMARANG | 192.168.100.249
DC-WAN-RTR-01;Port-channel2.143;up;up;598;192.168.100.233;KCP AJIBARANG | 192.168.100.233
DC-WAN-RTR-01;Port-channel2.144;up;up;599;192.168.100.237;KCP MOJOSARI | 192.168.100.238
DC-WAN-RTR-01;Port-channel2.145;up;up;600;30.53.31.1;KCP BANJARNEGARA | 30.53.31.1
DC-WAN-RTR-01;Port-channel2.146;up;up;603;30.54.20.1;KCP KEPANJEN | 30.54.20.1
DC-WAN-RTR-01;Port-channel2.147;up;up;626;192.168.100.113;KCP PSR REBO | 192.168.100.114
DC-WAN-RTR-01;Port-channel2.148;up;up;628;192.168.100.89;KCP MENTENG BLORA | 192.168.100.90
DC-WAN-RTR-01;Port-channel2.149;up;up;629;192.168.100.69;KCP_JATIASIH | 192.168.100.69
